,VH,VV,Class
531,-15.742282999999999,-9.242001,Bawang Putih
532,-15.681122,-8.746931,Non Bawang Putih
533,-16.312525,-8.480058,Non Bawang Putih
534,-14.771432,-8.278811,Non Bawang Putih
535,-14.568624,-10.975042,Bawang Putih
536,-15.944737,-7.6137996,Non Bawang Putih
537,-10.812552,1.7633145000000001,Non Bawang Putih
538,-5.455159,0.39687324,Non Bawang Putih
539,-14.799469,-9.607656500000001,Non Bawang Putih
540,-14.860585999999998,-8.07674,Bawang Putih
541,-14.712515,-9.64227,Non Bawang Putih
542,-13.70186,-7.652594000000001,Bawang Putih
543,-14.615029999999999,-10.809955,Non Bawang Putih
544,-7.633189999999999,-0.36996740000000006,Non Bawang Putih
545,-8.930346,-2.7365557999999996,Non Bawang Putih
546,-12.744556,-10.345302,Non Bawang Putih
547,-12.216756,-3.2652462000000004,Non Bawang Putih
548,-15.058335000000001,-8.131953999999999,Bawang Putih
549,-14.20461,-7.5957193,Bawang Putih
550,-13.269885999999998,-4.015532,Non Bawang Putih
551,-7.326096000000001,-3.4164078,Non Bawang Putih
552,-16.61459,-8.77084,Non Bawang Putih
553,-13.568144,-8.961404,Bawang Putih
554,-16.108885,-9.459703999999999,Bawang Putih
555,-11.591136,-1.4237877,Non Bawang Putih
