,VH,VV,Class
370,-16.114101,-9.2654295,Non Bawang Putih
371,-15.449119,-7.199033,Bawang Putih
372,-15.415285,-10.119837,Bawang Putih
373,-9.881264,-3.5506307999999995,Non Bawang Putih
374,-11.12775,-2.2419314,Non Bawang Putih
375,-11.783982,-7.4046509999999985,Bawang Putih
376,-12.7281685,-9.192532,Bawang Putih
377,-14.571186,-9.346317,Bawang Putih
378,-11.880881,-3.9957662,Non Bawang Putih
379,-12.899965,-4.7818904,Non Bawang Putih
380,-15.508389,-11.798994,Non Bawang Putih
381,-17.039888,-9.158205,Non Bawang Putih
382,-2.620744,0.76951295,Non Bawang Putih
383,-15.997447,-10.032611,Bawang Putih
384,-10.292581,-2.6073413,Non Bawang Putih
385,-16.191607,-9.56801,Non Bawang Putih
386,-14.091657,-8.132717999999999,Bawang Putih
387,-14.838833,-10.988842,Non Bawang Putih
388,-11.844051,-8.047343,Bawang Putih
389,-12.596997,-0.63395834,Non Bawang Putih
390,-13.13413,-11.02828,Bawang Putih
391,-17.03964,-10.910743,Non Bawang Putih
392,-16.071635999999998,-9.254227,Non Bawang Putih
393,-14.517034,-8.184198,Bawang Putih
394,-17.844978,-9.411619,Non Bawang Putih
395,-14.991501,-10.387527,Non Bawang Putih
396,-16.969921,-12.97138,Non Bawang Putih
397,-12.946768,-11.275406,Bawang Putih
398,-11.004523,2.536352,Non Bawang Putih
399,-13.704943,-8.652842,Non Bawang Putih
400,-18.409872,-10.579419,Bawang Putih
401,-13.074293,-7.465905999999999,Bawang Putih
402,-6.793689,2.2174513,Non Bawang Putih
403,-16.058301999999998,-8.26856,Non Bawang Putih
404,-17.23132,-10.4524765,Non Bawang Putih
405,-14.8599415,-8.641582000000001,Bawang Putih
406,-13.56755,-6.8441925,Bawang Putih
407,-10.36243,-5.7887177,Non Bawang Putih
408,-13.770598,-9.479973,Bawang Putih
409,-15.588376,-11.041773,Non Bawang Putih
410,-14.519898,-10.06651,Non Bawang Putih
411,-14.263084,-6.900060000000001,Bawang Putih
412,-7.371696000000001,-0.6733784,Non Bawang Putih
413,-15.380783,-10.075999,Bawang Putih
414,-10.16318,-2.2594633,Non Bawang Putih
415,-8.798425,-2.88548,Non Bawang Putih
416,-15.645359,-10.9497595,Non Bawang Putih
417,-16.841063000000002,-10.311164,Non Bawang Putih
418,-16.043476000000002,-9.771741,Bawang Putih
419,-14.1508665,-9.502469,Bawang Putih
420,-15.456797,-10.405106,Bawang Putih
421,-15.518249,-6.8613944,Bawang Putih
422,-16.711231,-10.416828,Non Bawang Putih
423,-16.026403,-10.113005,Non Bawang Putih
424,-13.678654000000002,-12.096389,Bawang Putih
425,-12.974613,-9.5279875,Bawang Putih
426,-15.102198,-9.978707,Non Bawang Putih
427,-13.841241,-8.525936,Bawang Putih
428,-8.025894000000001,0.71122205,Non Bawang Putih
429,-14.346906,-6.714792,Non Bawang Putih
430,-15.089728,-9.623367,Bawang Putih
431,-15.364468,-7.946934700000001,Bawang Putih
432,-13.950747,-8.050958999999999,Bawang Putih
433,-6.1908855,2.1108286,Non Bawang Putih
434,-12.705181,-4.4209414,Non Bawang Putih
435,-13.880692000000002,-8.099806,Bawang Putih
436,-15.501289000000002,-9.168403,Bawang Putih
437,-11.2035885,-6.8616533,Bawang Putih
