;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
8287;pin_3717;250719;174,4600472;46,35105824;116,5407654;-8,372078245;-14,190675;-9,371832;Bawang Putih
8288;pin_7785;221119;90,5;65,5;116,5333349;-8,37397133;-17,23729;-11,666037;Non Bawang Putih
8289;pin_4406;221119;187,5567345;25,63510105;116,5418657;-8,370183034;-17,28703;-10,6019125;Non Bawang Putih
8290;pin_7985;221119;109,5;78,5;116,5350599;-8,375073273;-16,48764;-7,631965;Non Bawang Putih
8291;pin_202;250719;133,4903405;35,49880025;116,5370911;-8,371224528;-13,73555;-6,6667895;Bawang Putih
8292;pin_3052;250719;227,5;111,5;116,5456574;-8,377711401;-13,602869;-7,4456167;Bawang Putih
8293;pin_8349;221119;116,5;105,5;116,5357543;-8,377447428;-14,527427;-9,234278;Non Bawang Putih
8294;pin_3025;250719;238,5;75,5;116,5465408;-8,374492372;-13,421904;-9,038282;Bawang Putih
8295;pin_463;250719;136,4903423;141,498799;116,5376386;-8,380609734;-12,870569;-7,3490696;Bawang Putih
8296;pin_4893;221119;194,5567277;48,6350996;116,5425494;-8,37220268;-14,307117;-7,890093;Non Bawang Putih
8297;pin_6012;221119;234,8706839;175,1906195;116,5464718;-8,383310675;-13,373548;-4,4294486;Non Bawang Putih
8298;pin_7271;221119;145,5;182,5;116,5385387;-8,384194253;-13,677492;0,9646488;Non Bawang Putih
8299;pin_5372;221119;280,8706511;13,19061797;116,5501357;-8,368834368;-11,57062;-2,7350652;Non Bawang Putih
